Ocotea costulata;Abacatirana;m;r;am;6.6;3.9;11.6;0.50;0.62;0.94;9500;65.5;32.6;5.4;8.6;4830;4250;3.4;470;;Ocotea costulara;10100;92.6;52.7;7.3;11.2;5650;4650;3.4;470;1.7
Pouteria oppositifolia;Abiu-branco;f;in;ma;7.8;4.6;12.5;0.65;0.83;1.20;10900;88.1;44.3;7.4;;6770;6430;4.5;;;Pouteria oppositifolia;;;;;;;;;;1.7
Prieurella prieurii ;Abiu-de-casca-fina;m;d;ma;13.0;7.7;20.3;0.83;0.99;;16900;126.8;59.1;12.4;13.8;10310;10530;4.8;650;;Prieurella prieuria;17500;177.4;76.0;15.3;20.0;12120;12360;4.3;;1.7
Pouteria egregia;Abiu-pitomba;mf;i;ma;11.2;6.8;15.7;0.84;1.12;1.23;15300;120.7;61.8;10.1;12.9;10970;11670;4.5;770;;Pouteria egregia;17900;175.2;90.7;15.0;19.4;14810;13380;5.8;900;1.6
Diploon venezuelana;Abiurana;f;d;ma;10.1;7.1;15.7;0.85;1.13;1.20;14900;118.8;57.1;16.3;12.8;9120;9490;5.4;860;;Diploon venezuelana;18100;190.6;98.3;19.8;20.0;12060;13360;3.2;550;1.4
Pouteria guianensis;Abiurana;m;o;ve;9.0;5.1;13.3;0.83;0.94;1.28;15200;119.1;50.4;21.2;11.6;8350;8530;5.6;;;Pouteria guianensis;;143.3;69.4;;12.9;12030;13250;6.1;;1.8
Micropholis guianensis;Abiurana-branca;f;d;ma;11.2;6.6;16.6;0.67;0.90;1.19;12300;87.7;36.6;5.9;9.3;6770;6140;2.5;550;;Micropholis guianensis;15200;132.9;76.1;11.0;8.1;9780;7280;2.5;760;1.7
Micropholis mensalis;Abiurana-branca;f;i;ma;9.6;5.2;14.7;0.60;0.74;1.11;12800;80.5;34.9;4.7;9.7;5270;4780;4.9;560;;Micropholis mensalis;13700;122.5;58.9;9.6;13.7;9780;7280;4.2;640;1.8
Pouteria gongrijpii;Abiurana-branca;f;d;ma;10.1;4.5;15.0;0.72;0.95;1.24;13400;101.0;43.1;9.5;11.9;7540;7680;4.5;710;;Pouteria gongrijpii;15600;147.3;77.0;12.8;18.0;11900;10870;4.9;800;2.2
Pouteria caimito;Abiurana-vermelha;mf;in;ve;9.5;5.5;14.9;0.85;0.91;1.24;15200;119.1;50.4;21.2;11.6;8350;8530;4.5;530;;Pouteria caimito;14900;152.2;78.2;12.9;11.2;13130;11180;9.0;1030;1.7
Pouteria caimito;Abiurana-vermelha;mf;in;ve;9.4;5.3;14.5;0.88;1.15;1.28;16300;133.3;66.4;14.0;14.6;10340;11530;5.4;700;;Pouteria caimito;17900;171.8;89.4;16.6;16.7;13500;10300;5.0;580;1.8
Hura creptans;Açacu;m;r;br;5.2;3.7;7.5;0.39;0.48;1.08;6500;34.8;16.1;2.6;5.6;2120;1760;2.4;300;;Hura creptans;8600;69.0;33.6;4.8;7.1;3920;2830;2.6;340;1.4
Lueheopsis duckeana;Açoita-cavalo;mf;r;ma;9.5;4.6;13.3;0.62;0.80;1.14;12500;82.3;35.3;5.9;9.3;5770;5500;3.9;600;;Lueheopis duckeana;14500;125.6;63.7;9.4;12.8;9730;8170;4.4;470;2.1
Lueheopsis duckeana;Açoita-cavalo;mf;r;ma;9.3;4.7;13.7;0.64;0.83;1.12;12200;81.4;38.2;6.2;8.4;6080;6000;3.8;;;Lueheopis duckeana;13800;127.1;61.0;10.9;12.0;9040;7860;4.7;;2.0
Parahancornia amapa;Amapá-amargoso;f;r;br;6.8;3.7;10.7;0.46;0.56;1.13;9300;55.3;25.2;3.3;7.0;3100;2510;3.4;470;;Parahancornia amapa;11300;90.8;46.8;6.1;9.8;5400;3580;4.0;520;1.8
Brosimum rubescens;Amapá-amargoso/Conduru;m;r;ve;8.1;5.3;12.0;0.71;0.81;1.24;14300;104.8;46.9;6.3;12.6;7180;6940;4.0;630;;Brosimum rubescens;16700;150.4;78.1;12.6;12.8;10860;9530;4.0;580;1.5
Brosimum rubescens;Amapá-amargoso/Conduru;m;r;ve;7.8;5.3;13.2;0.73;0.94;;13000;106.3;52.8;11.9;11.4;7790;7160;4.1;;;Brosimum rubescens;14900;139.4;72.7;12.5;13.7;10700;9180;4.2;;1.5
